LeadReach AI IFSC Corp. — 3-Year Cash Flow Projections
"Incorporated in the Province of Ontario, Canada"
Projection Period: 36 months from date of seed funding
"Opening Cash Balance: $487,200"
"Seed-Plus Round: $5,000,000"
Pre-Launch Period: Months 1-4 (Zero Revenue — Platform in Final Development Stage)
Soft Launch: Month 5
Currency: USD

Category,Subcategory,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36,Year 1 Total,Year 2 Total,Year 3 Total,3-Year Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING CASH INFLOWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscription Revenue - B2B,Launchpad (Free),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subscription Revenue - B2B,Scout Plan ($149/mo),0,0,0,0,298,596,1043,1490,2086,2831,3725,4768,5960,7301,8940,10728,12814,15198,17880,20860,24138,27714,31737,36207,41124,46488,52448,59004,66156,74053,82695,92082,102363,113538,125756,139017,16837,219477,994724,1231038
Subscription Revenue - B2B,Command Plan ($349/mo),0,0,0,0,349,698,1047,1745,2443,3490,4886,6282,8027,10121,12564,15356,18497,21987,26175,30712,35947,41880,48511,56189,64914,74686,85854,98418,112727,128781,146929,167171,189856,215333,243951,276408,20940,325966,1805028,2151934
Subscription Revenue - B2B,Enterprise Plan ($999/mo),0,0,0,0,0,0,999,999,1998,2997,3996,4995,5994,7992,9990,11988,13986,16983,19980,23976,27972,32967,37962,43956,50949,57942,65934,74925,84915,95904,107892,121878,136863,153846,171828,191808,15984,253746,1314684,1584414
Subscription Revenue - B2B,"Founders Pass ($199/mo, limited)",0,0,0,0,597,995,1592,1990,2388,2786,3184,3582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17114,0,0,17114
Subscription Revenue - B2C,Setter Plan ($49/mo),0,0,0,0,196,343,539,784,1078,1470,1911,2450,3038,3724,4508,5439,6517,7742,9114,10682,12446,14455,16709,19257,22099,25284,28910,33026,37632,42826,48657,55174,62475,70609,79674,89768,8771,113631,596134,718536
Subscription Revenue - B2C,Closer Plan ($89/mo),0,0,0,0,178,356,623,890,1246,1691,2225,2937,3738,4628,5696,6942,8366,10057,12015,14240,16821,19758,23140,27056,31506,36579,42364,49039,56693,65415,75383,86686,99502,114098,130563,149342,10146,152457,937170,1099773
Subscription Revenue - B2C,Agency Plan ($249/mo),0,0,0,0,0,249,249,498,747,996,1245,1743,2241,2739,3486,4233,5229,6225,7470,8964,10707,12699,14940,17679,20667,24153,28137,32619,37848,43824,50547,58266,66981,76941,88146,101094,5727,96612,629223,731562
Usage & Overage Revenue,,0,0,0,0,50,120,250,450,750,1200,1800,2700,3800,5200,7000,9200,11800,15000,18800,23300,28500,34600,41700,50000,59500,70500,83000,97200,113200,131200,151500,174300,200000,228500,260200,295500,7320,248900,1864600,2120820
Professional Services,,0,0,0,0,0,0,0,500,1000,1800,2800,4000,5000,6500,8000,10000,12000,14500,17000,20000,23000,26500,30000,34000,38500,43500,49000,55000,61500,68500,76000,84000,92500,101500,111000,121000,10100,206500,902000,1118600
Total Operating Cash Inflows,,0,0,0,0,1668,3357,6342,9346,13736,19261,25772,33457,37798,48205,60184,73886,89209,107692,128434,152734,179531,210573,244699,284344,329259,379132,435647,499231,570671,650503,739603,839557,950540,1074365,1211118,1363937,112939,1617289,9043563,10773791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING CASH OUTFLOWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,AI/LLM Inference Costs,3200,3400,3600,3800,6300,8100,9900,11700,13500,15300,17100,18900,20700,22500,24300,26100,27900,29700,31500,33300,35100,36900,38700,40500,42300,44100,45900,47700,49500,51300,53100,54900,56700,58500,60300,62100,114800,367200,626400,1108400
Cost of Revenue,Cloud Infrastructure (AWS/GCP),2100,2200,2300,2400,3800,4600,5400,6200,7000,7800,8600,9400,10200,11000,11800,12600,13400,14200,15000,15800,16600,17400,18200,19000,19800,20600,21400,22200,23000,23800,24600,25400,26200,27000,27800,28600,61800,175200,290400,527400
Cost of Revenue,Data Provider API Costs,1600,1700,1800,1900,3700,4900,6100,7300,8500,9700,10900,12100,13300,14500,15700,16900,18100,19300,20500,21700,22900,24100,25300,26500,27700,28900,30100,31300,32500,33700,34900,36100,37300,38500,39700,40900,70200,238800,411600,720600
Cost of Revenue,Customer Support Tools,0,0,0,0,300,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000,3150,3300,3450,3600,3750,3900,4050,4200,4350,4500,4650,4800,4950,6600,27900,49500,84000
Total Cost of Revenue,,6900,7300,7700,8100,14100,18050,22000,25950,29900,33850,37800,41750,45700,49650,53600,57550,61500,65450,69400,73350,77300,81250,85200,89150,93100,97050,101000,104950,108900,112850,116800,120750,124700,128650,132600,136550,253400,809100,1377900,2440400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Engineering Salaries,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,80000,80000,80000,80000,80000,80000,90000,90000,90000,90000,90000,90000,540000,780000,1020000,2340000
Operating Expenses,Sales & Marketing Salaries,0,0,0,0,8000,8000,15000,15000,15000,15000,15000,15000,25000,25000,25000,25000,25000,25000,35000,35000,35000,35000,35000,35000,45000,45000,45000,45000,45000,45000,55000,55000,55000,55000,55000,55000,106000,360000,600000,1066000
Operating Expenses,G&A Salaries,6000,6000,6000,6000,6000,6000,8000,8000,8000,8000,8000,8000,10000,10000,10000,10000,10000,10000,12000,12000,12000,12000,12000,12000,15000,15000,15000,15000,15000,15000,18000,18000,18000,18000,18000,18000,84000,132000,198000,414000
Operating Expenses,Paid Acquisition (CAC),0,0,0,0,3000,3000,6000,6000,6000,10000,10000,10000,15000,15000,15000,20000,20000,20000,26000,26000,26000,33000,33000,33000,40000,40000,40000,48000,48000,48000,57000,57000,57000,67000,67000,67000,54000,282000,636000,972000
Operating Expenses,Content & Brand Marketing,1500,1500,1500,1500,3000,3000,3000,3000,4000,4000,4000,4000,6000,6000,6000,6000,6000,6000,8000,8000,8000,8000,8000,8000,10000,10000,10000,10000,10000,10000,12000,12000,12000,12000,12000,12000,34000,84000,132000,250000
Operating Expenses,Tools & Software Subscriptions,2000,2000,2000,2000,2500,2500,2500,2500,3000,3000,3000,3000,3500,3500,3500,3500,3500,3500,4500,4500,4500,4500,4500,4500,5500,5500,5500,5500,5500,5500,6500,6500,6500,6500,6500,6500,30000,48000,72000,150000
Operating Expenses,Legal & Professional Fees,8000,2000,2000,2000,2500,2500,2500,2500,2000,2000,2000,5000,2500,2500,2500,2500,2000,2000,2000,2000,2000,2000,2000,5000,2500,2500,2500,2500,2000,2000,2000,2000,2000,2000,2000,5000,35000,29000,29000,93000
Operating Expenses,Office & Operations,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,14400,21600,30000,66000
Operating Expenses,Recruiting & HR,1500,1500,1500,1500,3000,3000,3000,3000,4000,4000,4000,4000,6000,6000,6000,6000,6000,6000,8000,8000,8000,8000,8000,8000,10000,10000,10000,10000,10000,10000,12000,12000,12000,12000,12000,12000,34000,84000,132000,250000
Total Operating Expenses,,60200,54200,54200,54200,69200,69200,91200,91200,93200,97200,97200,100200,129800,129800,129800,134800,134300,134300,167300,167300,167300,174300,174300,177300,210500,210500,210500,218500,218000,218000,255000,255000,255000,265000,265000,268000,931400,1820600,2849000,5601000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Cash Outflows,,67100,61500,61900,62300,83300,87250,113200,117150,123100,131050,135000,141950,175500,179450,183400,192350,195800,199750,236700,240650,244600,255550,259500,266450,303600,307550,311500,323450,326900,330850,371800,375750,379700,393650,397600,404550,1184800,2629700,4226900,8041400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET OPERATING CASH FLOW,,-67100,-61500,-61900,-62300,-81632,-83893,-106858,-107804,-109364,-111789,-109228,-108493,-137702,-131245,-123216,-118464,-106591,-92058,-108266,-87916,-65069,-44977,-14801,17894,25659,71582,124147,175781,243771,319653,367803,463807,570840,680715,813518,959387,-1071861,-1012411,4816663,2732391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVESTING ACTIVITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditure,Equipment & Hardware,-5000,0,0,0,0,0,0,-4000,0,0,0,-3000,0,0,0,0,0,-5000,0,0,0,0,0,-4000,0,0,0,0,0,-6000,0,0,0,0,0,-5000,-12000,-9000,-11000,-32000
Capital Expenditure,Security & Compliance Certifications,0,0,0,-8000,0,0,0,0,-12000,0,0,0,0,0,-5000,0,0,0,0,-15000,0,0,0,-5000,0,0,0,0,0,-10000,0,0,0,0,0,-8000,-20000,-25000,-18000,-63000
